From_Epoch,To_Epoch,DataPoint,Previous_Prediction_kW,Current_Prediction_kW,Prediction_Difference_kW,Mean_Difference_kW,Std_Difference_kW,Trained_On
50,100,1,0.90330034,0.87069154,-0.032608807,0.017702414,0.042920474,95-5
50,100,2,0.80919904,0.7565444,-0.052654624,0.017702414,0.042920474,95-5
50,100,3,0.80919904,0.7565444,-0.052654624,0.017702414,0.042920474,95-5
50,100,4,0.7390977,0.7245563,-0.014541388,0.017702414,0.042920474,95-5
50,100,5,0.7390977,0.7245563,-0.014541388,0.017702414,0.042920474,95-5
50,100,6,0.6710495,0.6652192,-0.005830288,0.017702414,0.042920474,95-5
50,100,7,0.6710495,0.6652192,-0.005830288,0.017702414,0.042920474,95-5
50,100,8,0.6983451,0.70134056,0.0029954314,0.017702414,0.042920474,95-5
50,100,9,0.6983451,0.70134056,0.0029954314,0.017702414,0.042920474,95-5
50,100,10,0.9466633,1.0406818,0.09401852,0.017702414,0.042920474,95-5
50,100,11,0.9466633,1.0406818,0.09401852,0.017702414,0.042920474,95-5
50,100,12,0.9673614,0.92428493,-0.043076456,0.017702414,0.042920474,95-5
50,100,13,0.9673614,0.92428493,-0.043076456,0.017702414,0.042920474,95-5
50,100,14,0.8488185,0.7968568,-0.05196166,0.017702414,0.042920474,95-5
50,100,15,0.8488185,0.7968568,-0.05196166,0.017702414,0.042920474,95-5
50,100,16,0.6812553,0.703852,0.022596717,0.017702414,0.042920474,95-5
50,100,17,0.6812553,0.703852,0.022596717,0.017702414,0.042920474,95-5
50,100,18,0.72941524,0.75198346,0.022568226,0.017702414,0.042920474,95-5
50,100,19,0.72941524,0.75198346,0.022568226,0.017702414,0.042920474,95-5
50,100,20,0.6937245,0.70919955,0.015475035,0.017702414,0.042920474,95-5
50,100,21,0.6937245,0.70919955,0.015475035,0.017702414,0.042920474,95-5
50,100,22,0.8030021,0.84031457,0.037312448,0.017702414,0.042920474,95-5
50,100,23,0.8030021,0.84031457,0.037312448,0.017702414,0.042920474,95-5
50,100,24,0.7903193,0.84513277,0.054813445,0.017702414,0.042920474,95-5
50,100,25,0.7903193,0.84513277,0.054813445,0.017702414,0.042920474,95-5
50,100,26,0.7228317,0.7439898,0.0211581,0.017702414,0.042920474,95-5
50,100,27,0.7228317,0.7439898,0.0211581,0.017702414,0.042920474,95-5
50,100,28,0.85789984,0.97526443,0.117364585,0.017702414,0.042920474,95-5
50,100,29,0.85789984,0.97526443,0.117364585,0.017702414,0.042920474,95-5
50,100,30,0.7617949,0.7946422,0.032847285,0.017702414,0.042920474,95-5
50,100,31,0.76179487,0.7946424,0.032847524,0.017702414,0.042920474,95-5
50,100,32,0.79258347,0.79439807,0.0018146038,0.017702414,0.042920474,95-5
50,100,33,0.7925834,0.7943981,0.001814723,0.017702414,0.042920474,95-5
50,100,34,0.7201199,0.74231285,0.022192955,0.017702414,0.042920474,95-5
