From_Epoch,To_Epoch,DataPoint,Prediction_Difference,Mean_Difference,Std_Difference
150,200,36,0.27631658,0.27087623,0.15936269
150,200,37,0.27631658,0.27087623,0.15936269
200,250,1,-0.259548,-0.19951193,0.19846968
200,250,2,-0.2474041,-0.19951193,0.19846968
200,250,3,-0.2474041,-0.19951193,0.19846968
200,250,4,-0.26954412,-0.19951193,0.19846968
200,250,5,-0.26954412,-0.19951193,0.19846968
200,250,6,-0.09418917,-0.19951193,0.19846968
200,250,7,-0.09418917,-0.19951193,0.19846968
200,250,8,0.14767289,-0.19951193,0.19846968
200,250,9,0.14767289,-0.19951193,0.19846968
200,250,10,-0.7690455,-0.19951193,0.19846968
200,250,11,-0.7690455,-0.19951193,0.19846968
200,250,12,-0.28290945,-0.19951193,0.19846968
200,250,13,-0.28290945,-0.19951193,0.19846968
200,250,14,-0.1162079,-0.19951193,0.19846968
200,250,15,-0.1162079,-0.19951193,0.19846968
200,250,16,-0.116146564,-0.19951193,0.19846968
200,250,17,-0.116146564,-0.19951193,0.19846968
200,250,18,0.22499669,-0.19951193,0.19846968
200,250,19,0.22499669,-0.19951193,0.19846968
200,250,20,-0.09649676,-0.19951193,0.19846968
200,250,21,-0.09649676,-0.19951193,0.19846968
200,250,22,-0.2643708,-0.19951193,0.19846968
200,250,23,-0.2643708,-0.19951193,0.19846968
200,250,24,-0.13684887,-0.19951193,0.19846968
200,250,25,-0.13684887,-0.19951193,0.19846968
200,250,26,-0.37811106,-0.19951193,0.19846968
200,250,27,-0.37811106,-0.19951193,0.19846968
200,250,28,-0.2288534,-0.19951193,0.19846968
200,250,29,-0.2288534,-0.19951193,0.19846968
200,250,30,-0.29595947,-0.19951193,0.19846968
200,250,31,-0.29595935,-0.19951193,0.19846968
200,250,32,-0.21290588,-0.19951193,0.19846968
200,250,33,-0.21290624,-0.19951193,0.19846968
200,250,34,-0.1864723,-0.19951193,0.19846968
200,250,35,-0.1864723,-0.19951193,0.19846968
200,250,36,-0.23840034,-0.19951193,0.19846968
200,250,37,-0.23840034,-0.19951193,0.19846968
250,300,1,0.035947025,-0.019229729,0.06320193
250,300,2,0.027760744,-0.019229729,0.06320193
250,300,3,0.027760744,-0.019229729,0.06320193
250,300,4,-0.0046322346,-0.019229729,0.06320193
250,300,5,-0.0046322346,-0.019229729,0.06320193
250,300,6,-0.033735037,-0.019229729,0.06320193
250,300,7,-0.033735037,-0.019229729,0.06320193
250,300,8,-0.11851764,-0.019229729,0.06320193
250,300,9,-0.11851764,-0.019229729,0.06320193
250,300,10,0.19578373,-0.019229729,0.06320193
250,300,11,0.19578373,-0.019229729,0.06320193
250,300,12,0.009892225,-0.019229729,0.06320193
250,300,13,0.009892225,-0.019229729,0.06320193
250,300,14,-0.02616173,-0.019229729,0.06320193
250,300,15,-0.02616173,-0.019229729,0.06320193
250,300,16,-0.018165112,-0.019229729,0.06320193
250,300,17,-0.018165112,-0.019229729,0.06320193
250,300,18,-0.10784775,-0.019229729,0.06320193
250,300,19,-0.10784775,-0.019229729,0.06320193
250,300,20,-0.039839208,-0.019229729,0.06320193
250,300,21,-0.039839208,-0.019229729,0.06320193
250,300,22,0.006475985,-0.019229729,0.06320193
250,300,23,0.006475985,-0.019229729,0.06320193
250,300,24,-0.024491727,-0.019229729,0.06320193
250,300,25,-0.024491727,-0.019229729,0.06320193
250,300,26,-0.054710507,-0.019229729,0.06320193
250,300,27,-0.054710507,-0.019229729,0.06320193
250,300,28,-0.019744039,-0.019229729,0.06320193
250,300,29,-0.019744039,-0.019229729,0.06320193
250,300,30,-0.0443936,-0.019229729,0.06320193
250,300,31,-0.04439366,-0.019229729,0.06320193
250,300,32,-0.028287947,-0.019229729,0.06320193
250,300,33,-0.028287768,-0.019229729,0.06320193
250,300,34,-0.033829987,-0.019229729,0.06320193
250,300,35,-0.033829987,-0.019229729,0.06320193
250,300,36,-0.05927974,-0.019229729,0.06320193
250,300,37,-0.05927974,-0.019229729,0.06320193
300,350,1,0.022752523,0.10999342,0.13595942
300,350,2,-0.01113826,0.10999342,0.13595942
300,350,3,-0.01113826,0.10999342,0.13595942
300,350,4,-0.039291143,0.10999342,0.13595942
300,350,5,-0.039291143,0.10999342,0.13595942
300,350,6,0.030008912,0.10999342,0.13595942
300,350,7,0.030008912,0.10999342,0.13595942
300,350,8,0.27996516,0.10999342,0.13595942
300,350,9,0.27996516,0.10999342,0.13595942
300,350,10,-0.10813093,0.10999342,0.13595942
300,350,11,-0.10813093,0.10999342,0.13595942
300,350,12,0.19878632,0.10999342,0.13595942
300,350,13,0.19878632,0.10999342,0.13595942
300,350,14,0.018359244,0.10999342,0.13595942
300,350,15,0.018359244,0.10999342,0.13595942
300,350,16,0.019177556,0.10999342,0.13595942
300,350,17,0.019177556,0.10999342,0.13595942
300,350,18,0.39547735,0.10999342,0.13595942
300,350,19,0.39547735,0.10999342,0.13595942
300,350,20,0.039293945,0.10999342,0.13595942
300,350,21,0.039293945,0.10999342,0.13595942
300,350,22,0.21047145,0.10999342,0.13595942
300,350,23,0.21047145,0.10999342,0.13595942
300,350,24,0.01973164,0.10999342,0.13595942
300,350,25,0.01973164,0.10999342,0.13595942
300,350,26,0.35177344,0.10999342,0.13595942
300,350,27,0.35177344,0.10999342,0.13595942
300,350,28,0.11250901,0.10999342,0.13595942
300,350,29,0.11250901,0.10999342,0.13595942
300,350,30,0.13451773,0.10999342,0.13595942
300,350,31,0.13451773,0.10999342,0.13595942
300,350,32,0.010121942,0.10999342,0.13595942
300,350,33,0.01012218,0.10999342,0.13595942
300,350,34,0.110345244,0.10999342,0.13595942
300,350,35,0.110345244,0.10999342,0.13595942
300,350,36,0.25152308,0.10999342,0.13595942
300,350,37,0.25152308,0.10999342,0.13595942
350,400,1,0.12720776,-0.10655327,0.18822457
350,400,2,0.14561665,-0.10655327,0.18822457
350,400,3,0.14561665,-0.10655327,0.18822457
350,400,4,0.124260426,-0.10655327,0.18822457
350,400,5,0.124260426,-0.10655327,0.18822457
350,400,6,-0.015261412,-0.10655327,0.18822457
350,400,7,-0.015261412,-0.10655327,0.18822457
350,400,8,-0.35591066,-0.10655327,0.18822457
350,400,9,-0.35591066,-0.10655327,0.18822457
350,400,10,-0.3827685,-0.10655327,0.18822457
350,400,11,-0.3827685,-0.10655327,0.18822457
350,400,12,-0.0067873,-0.10655327,0.18822457
350,400,13,-0.0067873,-0.10655327,0.18822457
350,400,14,0.016070902,-0.10655327,0.18822457
350,400,15,0.016070902,-0.10655327,0.18822457
350,400,16,0.010806978,-0.10655327,0.18822457
350,400,17,0.010806978,-0.10655327,0.18822457
350,400,18,-0.54235053,-0.10655327,0.18822457
350,400,19,-0.54235053,-0.10655327,0.18822457
350,400,20,-0.027283967,-0.10655327,0.18822457
350,400,21,-0.027283967,-0.10655327,0.18822457
350,400,22,-0.21907479,-0.10655327,0.18822457
350,400,23,-0.21907479,-0.10655327,0.18822457
350,400,24,0.012284517,-0.10655327,0.18822457
350,400,25,0.012284517,-0.10655327,0.18822457
350,400,26,-0.37301552,-0.10655327,0.18822457
350,400,27,-0.37301552,-0.10655327,0.18822457
350,400,28,-0.086765826,-0.10655327,0.18822457
