Epoch,DataPoint,Actual_kW,Predicted_kW,Error_kW,Huber_Loss,MAE,MSE,Error_Rate_%
50,1,0.5425619971001221,0.7700408,0.22747881300806272,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,2,0.1903316796374237,0.7133064,0.5229747473645294,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,3,0.6144901732295484,0.7133064,0.09881625377240477,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,4,0.2875572588484663,0.78326523,0.4957079741913897,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,5,0.5853400274725274,0.78326523,0.1979252055673285,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,6,0.22874043955701795,0.73044604,0.5017056010733226,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,7,0.5688626728479852,0.73044604,0.16158336778235538,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,8,0.1609351386323311,0.75730306,0.5963679204687736,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,9,0.5506321050130425,0.75730306,0.20667095408806224,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,10,1.5835442956348216,0.69923973,-0.8843045647998606,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,11,0.5416536775030526,0.69923973,0.15758605333190834,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,12,0.8386826278235654,0.6460645,-0.19261810794136325,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,13,0.7546116738469864,0.6460645,-0.1085471539647842,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,14,0.5641927430541668,0.80775064,0.24355789924548532,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,15,0.5981714308608057,0.80775064,0.2095792114388464,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,16,0.47619803677979206,0.8148047,0.3386066364150932,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,17,0.6474670384014133,0.8148047,0.16733763479347197,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,18,0.3809486325728596,0.8551045,0.474155873442918,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,19,0.5422633800458799,0.8551045,0.31284112596989766,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,20,0.28234984954837694,0.7606602,0.4783103219604121,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,21,0.5049568655881156,0.7606602,0.2557033059206735,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,22,0.4071613846761267,0.72595394,0.31879255190071654,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,23,0.5546413328107078,0.72595394,0.17131260376613544,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,24,0.48124584189871006,0.71511286,0.23386702307245083,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,25,0.4990493372946499,0.71511286,0.216063527676511,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,26,0.5015714262933239,0.7475735,0.24600206861787,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,27,0.5185776198107448,0.7475735,0.22899587510044905,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,28,0.6279465916722167,0.7932087,0.16526212662764905,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,29,0.5241586238298737,0.7932087,0.26905009446999206,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,30,0.35258322443679424,0.76872754,0.4161443165330544,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,31,0.5536192926055424,0.7687275,0.21510818875966142,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,32,0.4491866431608728,0.90151656,0.4523299135789343,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,33,0.7435289994264994,0.90151656,0.1579875573133077,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,34,0.35812693892733416,0.79823136,0.44010442436917463,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,35,0.5231885668151294,0.79823136,0.2750427964813794,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,36,0.5559640745596994,0.7571544,0.20119033055733548,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,37,0.563550872113997,0.7571544,0.1936035330030379,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,38,0.4321183640680907,0.7543304,0.322212032584131,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,39,0.5905795451886077,0.7543304,0.163750851463614,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,40,0.5483962306906058,0.6872902,0.1388939609597848,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,41,0.5696616244056869,0.6872902,0.11762856724470372,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,42,0.5857294621580762,0.6785622,0.0928327617532092,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
50,43,0.6534723557461056,0.6785622,0.025089868165179774,0.24588698148727417,0.46694228053092957,0.3750608563423157,34.95998322722115
