Epoch,DataPoint,Actual_kW,Predicted_kW,Error_kW,MSE,Error_Rate_%,Trained_On
50,1,0.5506173179945054,0.90330034,0.3526830269494948,0.1975451558828354,32.014697533673825,80-20
50,2,0.5160964232295481,0.80919904,0.293102611938146,0.1975451558828354,32.014697533673825,80-20
50,3,0.5421864131701631,0.80919904,0.26701262199753095,0.1975451558828354,32.014697533673825,80-20
50,4,0.6090397748779,0.7390977,0.13005793954623335,0.1975451558828354,32.014697533673825,80-20
50,5,0.5075435428113553,0.7390977,0.23155417161277803,0.1975451558828354,32.014697533673825,80-20
50,6,0.9746411739302365,0.6710495,-0.3035916982603757,0.1975451558828354,32.014697533673825,80-20
50,7,0.5837289087301588,0.6710495,0.08732056693970203,0.1975451558828354,32.014697533673825,80-20
50,8,0.7665944745879123,0.6983451,-0.0682493498663852,0.1975451558828354,32.014697533673825,80-20
50,9,0.5807860241147741,0.6983451,0.11755910060675301,0.1975451558828354,32.014697533673825,80-20
50,10,0.9698702745171494,0.9466633,-0.023206954452604678,0.1975451558828354,32.014697533673825,80-20
50,11,0.508248287580475,0.9466633,0.43841503248406966,0.1975451558828354,32.014697533673825,80-20
50,12,1.1035947557471266,0.9673614,-0.1362333651564589,0.1975451558828354,32.014697533673825,80-20
50,13,1.1074021232439335,0.9673614,-0.14004073265326578,0.1975451558828354,32.014697533673825,80-20
50,14,1.2253953703703704,0.8488185,-0.37657688940189504,0.1975451558828354,32.014697533673825,80-20
50,15,0.9044401021711366,0.8488185,-0.05562162120266123,0.1975451558828354,32.014697533673825,80-20
50,16,0.6202817329182632,0.6812553,0.06097354805326394,0.1975451558828354,32.014697533673825,80-20
50,17,0.7051356760855684,0.6812553,-0.023880395114041275,0.1975451558828354,32.014697533673825,80-20
50,18,1.6933403775542786,0.72941524,-0.9639251396506836,0.1975451558828354,32.014697533673825,80-20
50,19,0.6356475734355045,0.72941524,0.09376766446809048,0.1975451558828354,32.014697533673825,80-20
50,20,0.89316406449553,0.6937245,-0.19943955144163594,0.1975451558828354,32.014697533673825,80-20
50,21,0.7083288127926777,0.6937245,-0.014604299738783633,0.1975451558828354,32.014697533673825,80-20
50,22,1.3086677003512133,0.8030021,-0.5056655812868822,0.1975451558828354,32.014697533673825,80-20
50,23,1.6622463657407407,0.8030021,-0.8592442466764096,0.1975451558828354,32.014697533673825,80-20
50,24,1.9879143119412517,0.7903193,-1.1975949884015178,0.1975451558828354,32.014697533673825,80-20
50,25,0.7868427322796937,0.7903193,0.003476591260040185,0.1975451558828354,32.014697533673825,80-20
50,26,0.9312841843510778,0.7228317,-0.2084524582768591,0.1975451558828354,32.014697533673825,80-20
50,27,0.8314014509115281,0.7228317,-0.10856972483730931,0.1975451558828354,32.014697533673825,80-20
50,28,1.1464258491230728,0.85789984,-0.2885260044766189,0.1975451558828354,32.014697533673825,80-20
50,29,0.7763566463022102,0.85789984,0.08154319834424362,0.1975451558828354,32.014697533673825,80-20
50,30,1.5875495970848594,0.7617949,-0.8257546723488365,0.1975451558828354,32.014697533673825,80-20
50,31,0.7684309598061546,0.76179487,-0.006636094674776438,0.1975451558828354,32.014697533673825,80-20
50,32,1.6457757205885584,0.79258347,-0.8531922550123865,0.1975451558828354,32.014697533673825,80-20
50,33,0.8024889480008125,0.7925834,-0.009905542029285397,0.1975451558828354,32.014697533673825,80-20
50,34,1.3536300922754945,0.7201199,-0.6335101987246217,0.1975451558828354,32.014697533673825,80-20
50,35,1.2823567472217172,0.7201199,-0.5622368536708444,0.1975451558828354,32.014697533673825,80-20
50,36,1.5055385119411049,0.7528119,-0.7527266032191811,0.1975451558828354,32.014697533673825,80-20
50,37,0.5818457903451398,0.7528119,0.170966118376784,0.1975451558828354,32.014697533673825,80-20
50,38,0.7362712257984946,0.8120597,0.07578847469054961,0.1975451558828354,32.014697533673825,80-20
50,39,1.388769331739815,0.81205964,-0.5767096908554157,0.1975451558828354,32.014697533673825,80-20
100,1,0.5506173179945054,0.87069154,0.32007421986255025,0.19272209703922272,31.90160204443192,95-5
100,2,0.5160964232295481,0.7565444,0.2404479879528555,0.19272209703922272,31.90160204443192,95-5
100,3,0.5421864131701631,0.7565444,0.21435799801224042,0.19272209703922272,31.90160204443192,95-5
100,4,0.6090397748779,0.7245563,0.11551655198824995,0.19272209703922272,31.90160204443192,95-5
100,5,0.5075435428113553,0.7245563,0.21701278405479463,0.19272209703922272,31.90160204443192,95-5
100,6,0.9746411739302365,0.6652192,-0.3094219861937253,0.19272209703922272,31.90160204443192,95-5
100,7,0.5837289087301588,0.6652192,0.08149027900635242,0.19272209703922272,31.90160204443192,95-5
100,8,0.7665944745879123,0.70134056,-0.06525391844319794,0.19272209703922272,31.90160204443192,95-5
100,9,0.5807860241147741,0.70134056,0.12055453202994026,0.19272209703922272,31.90160204443192,95-5
100,10,0.9698702745171494,1.0406818,0.07081156447210846,0.19272209703922272,31.90160204443192,95-5
100,11,0.508248287580475,1.0406818,0.5324335514087828,0.19272209703922272,31.90160204443192,95-5
100,12,1.1035947557471266,0.92428493,-0.17930982074956803,0.19272209703922272,31.90160204443192,95-5
100,13,1.1074021232439335,0.92428493,-0.1831171882463749,0.19272209703922272,31.90160204443192,95-5
100,14,1.2253953703703704,0.7968568,-0.4285385497870269,0.19272209703922272,31.90160204443192,95-5
100,15,0.9044401021711366,0.7968568,-0.10758328158779307,0.19272209703922272,31.90160204443192,95-5
100,16,0.6202817329182632,0.703852,0.08357026493406228,0.19272209703922272,31.90160204443192,95-5
