Epoch,DataPoint,Actual_kW,Predicted_kW,Error_kW,MSE,RMSE,Error_Rate_%
50,1,0.5506173179945054,0.9163923,0.36577500836047505,0.16853082180023193,0.41052505623924096,33.61786096436751
50,2,0.5160964232295481,0.97456896,0.4584725398212942,0.16853082180023193,0.41052505623924096,33.61786096436751
50,3,0.5421864131701631,0.97456896,0.43238254988067915,0.16853082180023193,0.41052505623924096,33.61786096436751
50,4,0.6090397748779,0.9131449,0.3041051116157829,0.16853082180023193,0.41052505623924096,33.61786096436751
50,5,0.5075435428113553,0.9131449,0.4056013436823276,0.16853082180023193,0.41052505623924096,33.61786096436751
50,6,0.9746411739302365,0.6571698,-0.3174713550520627,0.16853082180023193,0.41052505623924096,33.61786096436751
50,7,0.5837289087301588,0.6571698,0.07344091014801502,0.16853082180023193,0.41052505623924096,33.61786096436751
50,8,0.7665944745879123,0.895101,0.12850653621149566,0.16853082180023193,0.41052505623924096,33.61786096436751
50,9,0.5807860241147741,0.895101,0.31431498668463387,0.16853082180023193,0.41052505623924096,33.61786096436751
50,10,0.9698702745171494,1.2023534,0.23248308375158844,0.16853082180023193,0.41052505623924096,33.61786096436751
50,11,0.508248287580475,1.2023534,0.6941050706882628,0.16853082180023193,0.41052505623924096,33.61786096436751
50,12,1.1035947557471266,1.0506188,-0.052975988008784336,0.16853082180023193,0.41052505623924096,33.61786096436751
50,13,1.1074021232439335,1.0506188,-0.056783355505591215,0.16853082180023193,0.41052505623924096,33.61786096436751
50,14,1.2253953703703704,1.0188769,-0.20651846016071462,0.16853082180023193,0.41052505623924096,33.61786096436751
50,15,0.9044401021711366,1.0188769,0.11443680803851919,0.16853082180023193,0.41052505623924096,33.61786096436751
50,16,0.6202817329182632,0.9343135,0.3140317431673997,0.16853082180023193,0.41052505623924096,33.61786096436751
50,17,0.7051356760855684,0.9343135,0.22917780000009447,0.16853082180023193,0.41052505623924096,33.61786096436751
50,18,1.6933403775542786,0.82114387,-0.8721965119689514,0.16853082180023193,0.41052505623924096,33.61786096436751
50,19,0.6356475734355045,0.82114387,0.18549629214982266,0.16853082180023193,0.41052505623924096,33.61786096436751
50,20,0.89316406449553,0.8976062,0.004442129523787641,0.16853082180023193,0.41052505623924096,33.61786096436751
50,21,0.7083288127926777,0.8976062,0.18927738122663995,0.16853082180023193,0.41052505623924096,33.61786096436751
50,22,1.3086677003512133,1.0220035,-0.2866641688952196,0.16853082180023193,0.41052505623924096,33.61786096436751
50,23,1.6622463657407407,1.0220035,-0.640242834284747,0.16853082180023193,0.41052505623924096,33.61786096436751
50,24,1.9879143119412517,1.046541,-0.941373336370573,0.16853082180023193,0.41052505623924096,33.61786096436751
50,25,0.7868427322796937,1.046541,0.259698243290985,0.16853082180023193,0.41052505623924096,33.61786096436751
50,26,0.9312841843510778,0.907422,-0.023862178220859342,0.16853082180023193,0.41052505623924096,33.61786096436751
50,27,0.8314014509115281,0.907422,0.07602055521869044,0.16853082180023193,0.41052505623924096,33.61786096436751
50,28,1.1464258491230728,1.1895626,0.043136710004734846,0.16853082180023193,0.41052505623924096,33.61786096436751
50,29,0.7763566463022102,1.1895626,0.4132059128255974,0.16853082180023193,0.41052505623924096,33.61786096436751
50,30,1.5875495970848594,1.0700672,-0.5174824298027549,0.16853082180023193,0.41052505623924096,33.61786096436751
50,31,0.7684309598061546,1.0700673,0.30163632668523943,0.16853082180023193,0.41052505623924096,33.61786096436751
50,32,1.6457757205885584,1.0457343,-0.6000414342802698,0.16853082180023193,0.41052505623924096,33.61786096436751
50,33,0.8024889480008125,1.0457342,0.24324521909818653,0.16853082180023193,0.41052505623924096,33.61786096436751
50,34,1.3536300922754945,0.9033165,-0.4503135944727601,0.16853082180023193,0.41052505623924096,33.61786096436751
50,35,1.2823567472217172,0.9033165,-0.37904024941898284,0.16853082180023193,0.41052505623924096,33.61786096436751
50,36,1.5055385119411049,1.0559072,-0.4496312624904213,0.16853082180023193,0.41052505623924096,33.61786096436751
50,37,0.5818457903451398,1.0559072,0.47406145910554376,0.16853082180023193,0.41052505623924096,33.61786096436751
50,38,0.7362712257984946,1.1366028,0.4003315335627725,0.16853082180023193,0.41052505623924096,33.61786096436751
50,39,1.388769331739815,1.1366026,-0.25216669158783755,0.16853082180023193,0.41052505623924096,33.61786096436751
100,1,0.5506173179945054,0.84311765,0.29250033632907246,0.18504133820533752,0.4301643153555831,30.684584956698362
100,2,0.5160964232295481,0.8125271,0.29643069688382473,0.18504133820533752,0.4301643153555831,30.684584956698362
100,3,0.5421864131701631,0.8125271,0.27034070694320966,0.18504133820533752,0.4301643153555831,30.684584956698362
100,4,0.6090397748779,0.78858274,0.17954296733630293,0.18504133820533752,0.4301643153555831,30.684584956698362
100,5,0.5075435428113553,0.78858274,0.2810391994028476,0.18504133820533752,0.4301643153555831,30.684584956698362
100,6,0.9746411739302365,0.55181724,-0.42282393559939546,0.18504133820533752,0.4301643153555831,30.684584956698362
100,7,0.5837289087301588,0.55181724,-0.03191167039931775,0.18504133820533752,0.4301643153555831,30.684584956698362
100,8,0.7665944745879123,0.7293609,-0.037233596120352486,0.18504133820533752,0.4301643153555831,30.684584956698362
100,9,0.5807860241147741,0.7293609,0.14857485435278572,0.18504133820533752,0.4301643153555831,30.684584956698362
100,10,0.9698702745171494,1.0370533,0.06718307211676178,0.18504133820533752,0.4301643153555831,30.684584956698362
100,11,0.508248287580475,1.0370533,0.5288050590534361,0.18504133820533752,0.4301643153555831,30.684584956698362
