Epoch,DataPoint,Actual_kW,Predicted_kW,Error_kW,MSE,Error_Rate_%
50,1,0.5421864131701631,0.8731466,0.3309601804005461,0.2058480679988861,36.711877483671834
50,2,0.6090397748779,0.8467873,0.23774749900591963,0.2058480679988861,36.711877483671834
50,3,0.5075435428113553,0.8467873,0.3392437310724643,0.2058480679988861,36.711877483671834
50,4,0.9746411739302365,0.64019376,-0.3344474135351865,0.2058480679988861,36.711877483671834
50,5,0.5837289087301588,0.64019376,0.056464851664891236,0.2058480679988861,36.711877483671834
50,6,0.7665944745879123,0.5088091,-0.25778538492726777,0.2058480679988861,36.711877483671834
50,7,0.5807860241147741,0.5088091,-0.07197693445412956,0.2058480679988861,36.711877483671834
50,8,0.9698702745171494,1.2656715,0.29580121710577545,0.2058480679988861,36.711877483671834
50,9,0.508248287580475,1.2656715,0.7574232040424498,0.2058480679988861,36.711877483671834
50,10,1.1035947557471266,1.2519854,0.14839067497034164,0.2058480679988861,36.711877483671834
50,11,1.1074021232439335,1.2519854,0.14458330747353476,0.2058480679988861,36.711877483671834
50,12,1.2253953703703704,0.9854493,-0.23994605625293874,0.2058480679988861,36.711877483671834
50,13,0.9044401021711366,0.9854493,0.08100921194629507,0.2058480679988861,36.711877483671834
50,14,0.6202817329182632,0.9344648,0.3141830793604844,0.2058480679988861,36.711877483671834
50,15,0.7051356760855684,0.9344648,0.22932913619317918,0.2058480679988861,36.711877483671834
50,16,1.6933403775542786,0.9920893,-0.7012511060088684,0.2058480679988861,36.711877483671834
50,17,0.6356475734355045,0.9920893,0.35644169810990567,0.2058480679988861,36.711877483671834
50,18,0.89316406449553,0.9638888,0.07072475949052348,0.2058480679988861,36.711877483671834
50,19,0.7083288127926777,0.9638888,0.2555600111933758,0.2058480679988861,36.711877483671834
50,20,1.3086677003512133,0.43495548,-0.8737122226366747,0.2058480679988861,36.711877483671834
50,21,1.6622463657407407,0.43495548,-1.2272908880262021,0.2058480679988861,36.711877483671834
50,22,1.9879143119412517,1.1805394,-0.8073749423581218,0.2058480679988861,36.711877483671834
50,23,0.7868427322796937,1.1805394,0.3936966373034362,0.2058480679988861,36.711877483671834
50,24,0.9312841843510778,1.0075314,0.07624722014416141,0.2058480679988861,36.711877483671834
50,25,0.8314014509115281,1.0075314,0.1761299535837112,0.2058480679988861,36.711877483671834
50,26,1.1464258491230728,1.3308645,0.18443869956009373,0.2058480679988861,36.711877483671834
50,27,0.7763566463022102,1.3308645,0.5545079023809563,0.2058480679988861,36.711877483671834
50,28,1.5875495970848594,1.0083768,-0.579172760308126,0.2058480679988861,36.711877483671834
50,29,0.7684309598061546,1.0083768,0.2399458769705788,0.2058480679988861,36.711877483671834
50,30,1.6457757205885584,1.0993513,-0.5464244337004358,0.2058480679988861,36.711877483671834
50,31,0.8024889480008125,1.0993512,0.2968622196780205,0.2058480679988861,36.711877483671834
50,32,1.3536300922754945,0.95474374,-0.3988863493326844,0.2058480679988861,36.711877483671834
50,33,1.2823567472217172,0.95474356,-0.3276131830928415,0.2058480679988861,36.711877483671834
50,34,1.5055385119411049,1.149832,-0.35570650167193985,0.2058480679988861,36.711877483671834
50,35,0.5818457903451398,1.149832,0.5679862199240252,0.2058480679988861,36.711877483671834
50,36,0.7362712257984946,1.2124122,0.47614101232253814,0.2058480679988861,36.711877483671834
50,37,1.388769331739815,1.2124122,-0.17635709361878238,0.2058480679988861,36.711877483671834
100,1,0.5421864131701631,0.8949855,0.3527990838276701,0.181386798620224,34.70981970557519
100,2,0.6090397748779,0.9225112,0.31347144510043257,0.181386798620224,34.70981970557519
100,3,0.5075435428113553,0.9225112,0.41496767716697724,0.181386798620224,34.70981970557519
100,4,0.9746411739302365,0.9080191,-0.06662204846865816,0.181386798620224,34.70981970557519
100,5,0.5837289087301588,0.9080191,0.32429021673141956,0.181386798620224,34.70981970557519
100,6,0.7665944745879123,0.63233906,-0.13425541428136323,0.181386798620224,34.70981970557519
100,7,0.5807860241147741,0.63233906,0.05155303619177498,0.181386798620224,34.70981970557519
100,8,0.9698702745171494,1.2721828,0.30231254771032867,0.181386798620224,34.70981970557519
100,9,0.508248287580475,1.2721828,0.763934534647003,0.181386798620224,34.70981970557519
100,10,1.1035947557471266,1.2423807,0.1387859825112352,0.181386798620224,34.70981970557519
100,11,1.1074021232439335,1.2423807,0.13497861501442832,0.181386798620224,34.70981970557519
100,12,1.2253953703703704,1.0203615,-0.2050338276686492,0.181386798620224,34.70981970557519
100,13,0.9044401021711366,1.0203615,0.11592144053058462,0.181386798620224,34.70981970557519
100,14,0.6202817329182632,0.83191097,0.2116292349085801,0.181386798620224,34.70981970557519
100,15,0.7051356760855684,0.83191097,0.1267752917412749,0.181386798620224,34.70981970557519
100,16,1.6933403775542786,0.81360316,-0.8797372147887756,0.181386798620224,34.70981970557519
100,17,0.6356475734355045,0.81360316,0.17795558932999844,0.181386798620224,34.70981970557519
100,18,0.89316406449553,1.0728306,0.17966649332765117,0.181386798620224,34.70981970557519
100,19,0.7083288127926777,1.0728306,0.3645017450305035,0.181386798620224,34.70981970557519
100,20,1.3086677003512133,0.6564326,-0.6522350717196215,0.181386798620224,34.70981970557519
100,21,1.6622463657407407,0.6564326,-1.005813737109149,0.181386798620224,34.70981970557519
100,22,1.9879143119412517,0.94561094,-1.0423033714848613,0.181386798620224,34.70981970557519
100,23,0.7868427322796937,0.94561094,0.15876820817669668,0.181386798620224,34.70981970557519
100,24,0.9312841843510778,0.8295181,-0.10176610459338742,0.181386798620224,34.70981970557519
