From_Epoch,To_Epoch,DataPoint,Prediction_Difference,Mean_Difference,Std_Difference
50,100,1,-0.06665683,-0.07756218,0.039791755
50,100,2,-0.074626625,-0.07756218,0.039791755
50,100,3,-0.074626625,-0.07756218,0.039791755
50,100,4,-0.0074665546,-0.07756218,0.039791755
50,100,5,-0.0074665546,-0.07756218,0.039791755
50,100,6,0.014297128,-0.07756218,0.039791755
50,100,7,0.014297128,-0.07756218,0.039791755
50,100,8,-0.123719156,-0.07756218,0.039791755
50,100,9,-0.123719156,-0.07756218,0.039791755
50,100,10,-0.088005126,-0.07756218,0.039791755
50,100,11,-0.088005126,-0.07756218,0.039791755
50,100,12,-0.056242526,-0.07756218,0.039791755
50,100,13,-0.056242526,-0.07756218,0.039791755
50,100,14,-0.06458694,-0.07756218,0.039791755
50,100,15,-0.06458694,-0.07756218,0.039791755
50,100,16,-0.09883517,-0.07756218,0.039791755
50,100,17,-0.09883517,-0.07756218,0.039791755
50,100,18,-0.13004446,-0.07756218,0.039791755
50,100,19,-0.13004446,-0.07756218,0.039791755
50,100,20,-0.11989951,-0.07756218,0.039791755
50,100,21,-0.11989951,-0.07756218,0.039791755
50,100,22,-0.081587255,-0.07756218,0.039791755
50,100,23,-0.081587255,-0.07756218,0.039791755
50,100,24,-0.12388253,-0.07756218,0.039791755
50,100,25,-0.12388253,-0.07756218,0.039791755
50,100,26,-0.12149382,-0.07756218,0.039791755
50,100,27,-0.12149382,-0.07756218,0.039791755
50,100,28,-0.092897356,-0.07756218,0.039791755
50,100,29,-0.092897356,-0.07756218,0.039791755
50,100,30,-0.06421584,-0.07756218,0.039791755
50,100,31,-0.06421584,-0.07756218,0.039791755
50,100,32,-0.05051565,-0.07756218,0.039791755
50,100,33,-0.050515532,-0.07756218,0.039791755
50,100,34,-0.015915751,-0.07756218,0.039791755
50,100,35,-0.015915751,-0.07756218,0.039791755
50,100,36,-0.10116601,-0.07756218,0.039791755
50,100,37,-0.10116601,-0.07756218,0.039791755
50,100,38,-0.078330934,-0.07756218,0.039791755
50,100,39,-0.07833105,-0.07756218,0.039791755
100,150,1,0.042093277,0.054410893,0.071017385
100,150,2,0.23753041,0.054410893,0.071017385
100,150,3,0.23753041,0.054410893,0.071017385
100,150,4,0.07113618,0.054410893,0.071017385
100,150,5,0.07113618,0.054410893,0.071017385
100,150,6,0.023415029,0.054410893,0.071017385
100,150,7,0.023415029,0.054410893,0.071017385
100,150,8,0.045549035,0.054410893,0.071017385
100,150,9,0.045549035,0.054410893,0.071017385
100,150,10,-0.006395936,0.054410893,0.071017385
100,150,11,-0.006395936,0.054410893,0.071017385
100,150,12,-0.07500237,0.054410893,0.071017385
100,150,13,-0.07500237,0.054410893,0.071017385
100,150,14,0.2201032,0.054410893,0.071017385
100,150,15,0.2201032,0.054410893,0.071017385
100,150,16,0.016016126,0.054410893,0.071017385
100,150,17,0.016016126,0.054410893,0.071017385
100,150,18,0.013729632,0.054410893,0.071017385
100,150,19,0.013729632,0.054410893,0.071017385
100,150,20,0.039326966,0.054410893,0.071017385
100,150,21,0.039326966,0.054410893,0.071017385
100,150,22,-0.0009850264,0.054410893,0.071017385
100,150,23,-0.0009850264,0.054410893,0.071017385
100,150,24,0.042696953,0.054410893,0.071017385
100,150,25,0.042696953,0.054410893,0.071017385
100,150,26,0.017973244,0.054410893,0.071017385
100,150,27,0.017973244,0.054410893,0.071017385
100,150,28,0.08330786,0.054410893,0.071017385
100,150,29,0.08330786,0.054410893,0.071017385
100,150,30,0.0669654,0.054410893,0.071017385
100,150,31,0.06696552,0.054410893,0.071017385
100,150,32,0.079316676,0.054410893,0.071017385
100,150,33,0.079316854,0.054410893,0.071017385
100,150,34,0.020609677,0.054410893,0.071017385
100,150,35,0.020609677,0.054410893,0.071017385
100,150,36,0.026333928,0.054410893,0.071017385
100,150,37,0.026333928,0.054410893,0.071017385
100,150,38,0.11833876,0.054410893,0.071017385
100,150,39,0.118338585,0.054410893,0.071017385
150,200,1,0.0071464777,-0.06600687,0.06638862
150,200,2,-0.07913321,-0.06600687,0.06638862
150,200,3,-0.07913321,-0.06600687,0.06638862
150,200,4,-0.08695972,-0.06600687,0.06638862
150,200,5,-0.08695972,-0.06600687,0.06638862
