From_Epoch,To_Epoch,DataPoint,Previous_Prediction_kW,Current_Prediction_kW,Prediction_Difference_kW,Mean_Difference_kW,Std_Difference_kW,Trained_On
50,100,69,0.6591181,0.68326837,0.024150252,0.023978226,0.02993109,95-5
50,100,70,0.6591181,0.68326837,0.024150252,0.023978226,0.02993109,95-5
50,100,71,0.7399374,0.7360633,-0.003874123,0.023978226,0.02993109,95-5
50,100,72,0.7399374,0.7360633,-0.003874123,0.023978226,0.02993109,95-5
50,100,73,0.6185112,0.6656321,0.04712093,0.023978226,0.02993109,95-5
50,100,74,0.6185112,0.6656321,0.04712093,0.023978226,0.02993109,95-5
50,100,75,0.6174741,0.63850933,0.021035254,0.023978226,0.02993109,95-5
50,100,76,0.6174741,0.63850933,0.021035254,0.023978226,0.02993109,95-5
50,100,77,0.79746336,0.78054166,-0.016921699,0.023978226,0.02993109,95-5
50,100,78,0.79746336,0.78054166,-0.016921699,0.023978226,0.02993109,95-5
50,100,79,0.626832,0.69469774,0.06786573,0.023978226,0.02993109,95-5
50,100,80,0.626832,0.69469774,0.06786573,0.023978226,0.02993109,95-5
50,100,81,0.58264935,0.6033371,0.020687759,0.023978226,0.02993109,95-5
50,100,82,0.58264935,0.6033371,0.020687759,0.023978226,0.02993109,95-5
50,100,83,0.5873276,0.63569915,0.048371553,0.023978226,0.02993109,95-5
50,100,84,0.5873276,0.63569915,0.048371553,0.023978226,0.02993109,95-5
50,100,85,0.65818125,0.6583499,0.00016862154,0.023978226,0.02993109,95-5
50,100,86,0.65818125,0.6583499,0.00016862154,0.023978226,0.02993109,95-5
50,100,87,0.72931844,0.7603478,0.031029344,0.023978226,0.02993109,95-5
50,100,88,0.72931844,0.7603478,0.031029344,0.023978226,0.02993109,95-5
50,100,89,0.6184491,0.6421152,0.023666084,0.023978226,0.02993109,95-5
50,100,90,0.6184491,0.6421152,0.023666084,0.023978226,0.02993109,95-5
50,100,91,0.6132028,0.6574783,0.044275463,0.023978226,0.02993109,95-5
50,100,92,0.6132028,0.6574783,0.044275463,0.023978226,0.02993109,95-5
50,100,93,0.6479381,0.68989944,0.041961372,0.023978226,0.02993109,95-5
50,100,94,0.6479381,0.68989944,0.041961372,0.023978226,0.02993109,95-5
50,100,95,0.60005844,0.6487569,0.048698485,0.023978226,0.02993109,95-5
50,100,96,0.60005844,0.6487569,0.048698485,0.023978226,0.02993109,95-5
50,100,97,0.61069435,0.6673756,0.056681275,0.023978226,0.02993109,95-5
50,100,98,0.61069435,0.6673756,0.056681275,0.023978226,0.02993109,95-5
50,100,99,0.5975799,0.6062255,0.008645594,0.023978226,0.02993109,95-5
50,100,100,0.5975799,0.6062255,0.008645594,0.023978226,0.02993109,95-5
50,100,101,0.7493037,0.7837519,0.034448206,0.023978226,0.02993109,95-5
50,100,102,0.7493037,0.7837519,0.034448206,0.023978226,0.02993109,95-5
50,100,103,0.79354787,0.7593182,-0.034229696,0.023978226,0.02993109,95-5
50,100,104,0.79354787,0.7593182,-0.034229696,0.023978226,0.02993109,95-5
50,100,105,0.72701436,0.7466525,0.019638121,0.023978226,0.02993109,95-5
50,100,106,0.72701436,0.7466525,0.019638121,0.023978226,0.02993109,95-5
50,100,107,0.732867,0.731647,-0.0012199879,0.023978226,0.02993109,95-5
50,100,108,0.732867,0.731647,-0.0012199879,0.023978226,0.02993109,95-5
50,100,109,0.65619534,0.6827477,0.02655238,0.023978226,0.02993109,95-5
50,100,110,0.65619534,0.6827477,0.02655238,0.023978226,0.02993109,95-5
50,100,111,0.679471,0.69595695,0.01648593,0.023978226,0.02993109,95-5
50,100,112,0.679471,0.69595695,0.01648593,0.023978226,0.02993109,95-5
50,100,113,0.6628987,0.67374635,0.010847628,0.023978226,0.02993109,95-5
50,100,114,0.6628987,0.67374635,0.010847628,0.023978226,0.02993109,95-5
50,100,115,0.65662855,0.6804433,0.023814738,0.023978226,0.02993109,95-5
50,100,116,0.65662855,0.6804433,0.023814738,0.023978226,0.02993109,95-5
50,100,117,0.90330034,0.87069154,-0.032608807,0.023978226,0.02993109,95-5
50,100,118,0.90330034,0.87069154,-0.032608807,0.023978226,0.02993109,95-5
50,100,119,0.80919904,0.7565444,-0.052654624,0.023978226,0.02993109,95-5
50,100,120,0.80919904,0.7565444,-0.052654624,0.023978226,0.02993109,95-5
50,100,121,0.7390977,0.7245563,-0.014541388,0.023978226,0.02993109,95-5
50,100,122,0.7390977,0.7245563,-0.014541388,0.023978226,0.02993109,95-5
50,100,123,0.6710495,0.6652192,-0.005830288,0.023978226,0.02993109,95-5
50,100,124,0.6710495,0.6652192,-0.005830288,0.023978226,0.02993109,95-5
50,100,125,0.6983451,0.70134056,0.0029954314,0.023978226,0.02993109,95-5
50,100,126,0.6983451,0.70134056,0.0029954314,0.023978226,0.02993109,95-5
50,100,127,0.9466632,1.040682,0.09401876,0.023978226,0.02993109,95-5
50,100,128,0.9466632,1.040682,0.09401876,0.023978226,0.02993109,95-5
50,100,129,0.9673614,0.92428493,-0.043076456,0.023978226,0.02993109,95-5
50,100,130,0.9673614,0.92428493,-0.043076456,0.023978226,0.02993109,95-5
50,100,131,0.8488185,0.7968568,-0.05196166,0.023978226,0.02993109,95-5
50,100,132,0.8488185,0.7968568,-0.05196166,0.023978226,0.02993109,95-5
50,100,133,0.6812553,0.703852,0.022596717,0.023978226,0.02993109,95-5
50,100,134,0.6812553,0.703852,0.022596717,0.023978226,0.02993109,95-5
50,100,135,0.72941524,0.75198346,0.022568226,0.023978226,0.02993109,95-5
50,100,136,0.72941524,0.75198346,0.022568226,0.023978226,0.02993109,95-5
50,100,137,0.6937245,0.70919955,0.015475035,0.023978226,0.02993109,95-5
50,100,138,0.6937245,0.70919955,0.015475035,0.023978226,0.02993109,95-5
50,100,139,0.8030021,0.84031457,0.037312448,0.023978226,0.02993109,95-5
50,100,140,0.8030021,0.84031457,0.037312448,0.023978226,0.02993109,95-5
50,100,141,0.7903193,0.84513277,0.054813445,0.023978226,0.02993109,95-5
50,100,142,0.7903193,0.84513277,0.054813445,0.023978226,0.02993109,95-5
50,100,143,0.7228317,0.7439898,0.0211581,0.023978226,0.02993109,95-5
50,100,144,0.7228317,0.7439898,0.0211581,0.023978226,0.02993109,95-5
50,100,145,0.85789984,0.97526443,0.117364585,0.023978226,0.02993109,95-5
50,100,146,0.85789984,0.97526443,0.117364585,0.023978226,0.02993109,95-5
50,100,147,0.7617949,0.7946422,0.032847285,0.023978226,0.02993109,95-5
50,100,148,0.7617949,0.7946422,0.032847285,0.023978226,0.02993109,95-5
50,100,149,0.7925834,0.7943981,0.001814723,0.023978226,0.02993109,95-5
50,100,150,0.7925834,0.7943981,0.001814723,0.023978226,0.02993109,95-5
50,100,151,0.7201199,0.74231285,0.022192955,0.023978226,0.02993109,95-5
50,100,152,0.7201199,0.74231285,0.022192955,0.023978226,0.02993109,95-5
50,100,153,0.7528119,0.80067277,0.04786086,0.023978226,0.02993109,95-5
50,100,154,0.7528119,0.80067277,0.04786086,0.023978226,0.02993109,95-5
50,100,155,0.8120597,0.84860706,0.036547363,0.023978226,0.02993109,95-5
50,100,156,0.8120597,0.84860706,0.036547363,0.023978226,0.02993109,95-5
100,150,1,0.6733265,0.7278652,0.054538727,0.049386855,0.048767943,80-20
100,150,2,0.6733265,0.7278652,0.054538727,0.049386855,0.048767943,80-20
100,150,3,0.66619307,0.7184272,0.052234113,0.049386855,0.048767943,80-20
100,150,4,0.66619307,0.7184272,0.052234113,0.049386855,0.048767943,80-20
100,150,5,0.6446812,0.6595179,0.014836669,0.049386855,0.048767943,80-20
100,150,6,0.6446812,0.6595179,0.014836669,0.049386855,0.048767943,80-20
100,150,7,0.68966997,0.7277783,0.03810835,0.049386855,0.048767943,80-20
100,150,8,0.68966997,0.7277783,0.03810835,0.049386855,0.048767943,80-20
100,150,9,0.6635164,0.70714843,0.04363203,0.049386855,0.048767943,80-20
100,150,10,0.6635164,0.70714843,0.04363203,0.049386855,0.048767943,80-20
100,150,11,0.656675,0.67685664,0.020181656,0.049386855,0.048767943,80-20
100,150,12,0.656675,0.67685664,0.020181656,0.049386855,0.048767943,80-20
100,150,13,0.7087731,0.8415103,0.13273722,0.049386855,0.048767943,80-20
100,150,14,0.7087731,0.8415103,0.13273722,0.049386855,0.048767943,80-20
100,150,15,0.70180106,0.7520352,0.05023414,0.049386855,0.048767943,80-20
100,150,16,0.70180106,0.7520352,0.05023414,0.049386855,0.048767943,80-20
100,150,17,0.7633905,0.8592774,0.095886946,0.049386855,0.048767943,80-20
100,150,18,0.7633905,0.8592774,0.095886946,0.049386855,0.048767943,80-20
100,150,19,0.6890964,0.72601044,0.03691405,0.049386855,0.048767943,80-20
100,150,20,0.6890964,0.72601044,0.03691405,0.049386855,0.048767943,80-20
100,150,21,0.71288085,0.7506043,0.037723422,0.049386855,0.048767943,80-20
100,150,22,0.71288085,0.7506043,0.037723422,0.049386855,0.048767943,80-20
100,150,23,0.6773737,0.7359645,0.05859077,0.049386855,0.048767943,80-20
100,150,24,0.6773737,0.7359645,0.05859077,0.049386855,0.048767943,80-20
100,150,25,0.6380557,0.65754926,0.01949358,0.049386855,0.048767943,80-20
100,150,26,0.6380557,0.65754926,0.01949358,0.049386855,0.048767943,80-20
100,150,27,0.66849744,0.7652971,0.09679967,0.049386855,0.048767943,80-20
100,150,28,0.66849744,0.7652971,0.09679967,0.049386855,0.048767943,80-20
100,150,29,0.6745783,0.73156995,0.056991637,0.049386855,0.048767943,80-20
100,150,30,0.6745783,0.73156995,0.056991637,0.049386855,0.048767943,80-20
100,150,31,0.6176444,0.663478,0.045833588,0.049386855,0.048767943,80-20
100,150,32,0.6176444,0.663478,0.045833588,0.049386855,0.048767943,80-20
100,150,33,0.70906585,0.70724577,-0.0018200874,0.049386855,0.048767943,80-20
100,150,34,0.70906585,0.70724577,-0.0018200874,0.049386855,0.048767943,80-20
100,150,35,0.71823657,0.75866765,0.040431082,0.049386855,0.048767943,80-20
100,150,36,0.71823657,0.75866765,0.040431082,0.049386855,0.048767943,80-20
100,150,37,0.69961005,0.7633645,0.06375444,0.049386855,0.048767943,80-20
100,150,38,0.69961005,0.7633645,0.06375444,0.049386855,0.048767943,80-20
100,150,39,0.68442434,0.740594,0.05616969,0.049386855,0.048767943,80-20
100,150,40,0.68442434,0.740594,0.05616969,0.049386855,0.048767943,80-20
100,150,41,0.6867165,0.7346679,0.0479514,0.049386855,0.048767943,80-20
100,150,42,0.6867165,0.7346679,0.0479514,0.049386855,0.048767943,80-20
100,150,43,0.643847,0.6559852,0.012138188,0.049386855,0.048767943,80-20
100,150,44,0.643847,0.6559852,0.012138188,0.049386855,0.048767943,80-20
100,150,45,0.66405976,0.75458485,0.09052509,0.049386855,0.048767943,80-20
100,150,46,0.66405976,0.75458485,0.09052509,0.049386855,0.048767943,80-20
100,150,47,0.644558,0.6637369,0.019178867,0.049386855,0.048767943,80-20
100,150,48,0.644558,0.6637369,0.019178867,0.049386855,0.048767943,80-20
100,150,49,0.6251019,0.637937,0.012835085,0.049386855,0.048767943,80-20
100,150,50,0.6251019,0.637937,0.012835085,0.049386855,0.048767943,80-20
100,150,51,0.70296735,0.7281262,0.025158882,0.049386855,0.048767943,80-20
100,150,52,0.70296735,0.7281262,0.025158882,0.049386855,0.048767943,80-20
100,150,53,0.6566059,0.6698773,0.013271391,0.049386855,0.048767943,80-20
100,150,54,0.6566059,0.6698773,0.013271391,0.049386855,0.048767943,80-20
100,150,55,0.7023801,0.7823296,0.0799495,0.049386855,0.048767943,80-20
100,150,56,0.7023801,0.7823296,0.0799495,0.049386855,0.048767943,80-20
100,150,57,0.6543622,0.66976666,0.015404463,0.049386855,0.048767943,80-20
100,150,58,0.6543622,0.66976666,0.015404463,0.049386855,0.048767943,80-20
100,150,59,0.7983969,0.928343,0.12994611,0.049386855,0.048767943,80-20
100,150,60,0.7983969,0.928343,0.12994611,0.049386855,0.048767943,80-20
100,150,61,0.6656656,0.7233716,0.057706,0.049386855,0.048767943,80-20
100,150,62,0.6656656,0.7233716,0.057706,0.049386855,0.048767943,80-20
100,150,63,0.6325856,0.6480845,0.015498936,0.049386855,0.048767943,80-20
100,150,64,0.6325856,0.6480845,0.015498936,0.049386855,0.048767943,80-20
100,150,65,0.67945063,0.75196636,0.072515726,0.049386855,0.048767943,80-20
100,150,66,0.67945063,0.75196636,0.072515726,0.049386855,0.048767943,80-20
100,150,67,0.64433086,0.6690211,0.02469027,0.049386855,0.048767943,80-20
100,150,68,0.64433086,0.6690211,0.02469027,0.049386855,0.048767943,80-20
100,150,69,0.68326837,0.73120636,0.04793799,0.049386855,0.048767943,80-20
100,150,70,0.68326837,0.73120636,0.04793799,0.049386855,0.048767943,80-20
100,150,71,0.7360633,0.9089764,0.17291307,0.049386855,0.048767943,80-20
100,150,72,0.7360633,0.9089764,0.17291307,0.049386855,0.048767943,80-20
100,150,73,0.6656321,0.7308325,0.06520039,0.049386855,0.048767943,80-20
100,150,74,0.6656321,0.7308325,0.06520039,0.049386855,0.048767943,80-20
100,150,75,0.63850933,0.6552783,0.016768992,0.049386855,0.048767943,80-20
100,150,76,0.63850933,0.6552783,0.016768992,0.049386855,0.048767943,80-20
100,150,77,0.78054166,0.95404774,0.17350608,0.049386855,0.048767943,80-20
100,150,78,0.78054166,0.95404774,0.17350608,0.049386855,0.048767943,80-20
100,150,79,0.69469774,0.74666977,0.05197203,0.049386855,0.048767943,80-20
100,150,80,0.69469774,0.74666977,0.05197203,0.049386855,0.048767943,80-20
100,150,81,0.6033371,0.6355448,0.032207668,0.049386855,0.048767943,80-20
100,150,82,0.6033371,0.6355448,0.032207668,0.049386855,0.048767943,80-20
100,150,83,0.63569915,0.65019405,0.014494896,0.049386855,0.048767943,80-20
100,150,84,0.63569915,0.65019405,0.014494896,0.049386855,0.048767943,80-20
100,150,85,0.6583499,0.68374014,0.025390267,0.049386855,0.048767943,80-20
100,150,86,0.6583499,0.68374014,0.025390267,0.049386855,0.048767943,80-20
100,150,87,0.7603478,0.79023504,0.029887259,0.049386855,0.048767943,80-20
100,150,88,0.7603478,0.79023504,0.029887259,0.049386855,0.048767943,80-20
100,150,89,0.6421152,0.65463275,0.012517571,0.049386855,0.048767943,80-20
100,150,90,0.6421152,0.65463275,0.012517571,0.049386855,0.048767943,80-20
100,150,91,0.6574783,0.6993163,0.04183805,0.049386855,0.048767943,80-20
100,150,92,0.6574783,0.6993163,0.04183805,0.049386855,0.048767943,80-20
100,150,93,0.68989944,0.75573194,0.065832496,0.049386855,0.048767943,80-20
100,150,94,0.68989944,0.75573194,0.065832496,0.049386855,0.048767943,80-20
100,150,95,0.6487569,0.695583,0.046826065,0.049386855,0.048767943,80-20
100,150,96,0.6487569,0.695583,0.046826065,0.049386855,0.048767943,80-20
100,150,97,0.6673756,0.7299343,0.06255865,0.049386855,0.048767943,80-20
100,150,98,0.6673756,0.7299343,0.06255865,0.049386855,0.048767943,80-20
100,150,99,0.6062255,0.6425281,0.036302626,0.049386855,0.048767943,80-20
100,150,100,0.6062255,0.6425281,0.036302626,0.049386855,0.048767943,80-20
100,150,101,0.7837519,0.7867973,0.00304538,0.049386855,0.048767943,80-20
100,150,102,0.7837519,0.7867973,0.00304538,0.049386855,0.048767943,80-20
100,150,103,0.7593182,0.90563595,0.14631778,0.049386855,0.048767943,80-20
100,150,104,0.7593182,0.90563595,0.14631778,0.049386855,0.048767943,80-20
100,150,105,0.7466525,0.77482474,0.028172255,0.049386855,0.048767943,80-20
100,150,106,0.7466525,0.77482474,0.028172255,0.049386855,0.048767943,80-20
100,150,107,0.731647,0.79984176,0.06819475,0.049386855,0.048767943,80-20
100,150,108,0.731647,0.79984176,0.06819475,0.049386855,0.048767943,80-20
100,150,109,0.6827477,0.72491896,0.04217124,0.049386855,0.048767943,80-20
100,150,110,0.6827477,0.72491896,0.04217124,0.049386855,0.048767943,80-20
100,150,111,0.69595695,0.7306464,0.034689426,0.049386855,0.048767943,80-20
100,150,112,0.69595695,0.7306464,0.034689426,0.049386855,0.048767943,80-20
100,150,113,0.67374635,0.7052304,0.031484067,0.049386855,0.048767943,80-20
100,150,114,0.67374635,0.7052304,0.031484067,0.049386855,0.048767943,80-20
100,150,115,0.6804433,0.7103722,0.029928923,0.049386855,0.048767943,80-20
100,150,116,0.6804433,0.7103722,0.029928923,0.049386855,0.048767943,80-20
100,150,117,0.87069154,0.9496258,0.07893425,0.049386855,0.048767943,80-20
100,150,118,0.87069154,0.9496258,0.07893425,0.049386855,0.048767943,80-20
100,150,119,0.7565444,0.98086387,0.22431946,0.049386855,0.048767943,80-20
100,150,120,0.7565444,0.98086387,0.22431946,0.049386855,0.048767943,80-20
100,150,121,0.7245563,0.88640726,0.16185093,0.049386855,0.048767943,80-20
100,150,122,0.7245563,0.88640726,0.16185093,0.049386855,0.048767943,80-20
